Model: LeNet
Num epochs: 500
Num local epochs: 10
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round 224, Average loss 0.079
Round 225, Average loss 0.082
Round 226, Average loss 0.094
Round 227, Average loss 0.084
Round 228, Average loss 0.083
Round 229, Average loss 0.079
Round 230, Average loss 0.078
Round 231, Average loss 0.087
Round 232, Average loss 0.088
Round 233, Average loss 0.084
Round 234, Average loss 0.085
Round 235, Average loss 0.083
Round 236, Average loss 0.074
Round 237, Average loss 0.091
Round 238, Average loss 0.081
Round 239, Average loss 0.078
Round 240, Average loss 0.082
Round 241, Average loss 0.070
Round 242, Average loss 0.070
Round 243, Average loss 0.067
Round 244, Average loss 0.066
Round 245, Average loss 0.081
Round 246, Average loss 0.081
Round 247, Average loss 0.081
Round 248, Average loss 0.079
Round 249, Average loss 0.079
Round 250, Average loss 0.068
Round 251, Average loss 0.067
Round 252, Average loss 0.074
Round 253, Average loss 0.062
Round 254, Average loss 0.074
Round 255, Average loss 0.067
Round 256, Average loss 0.090
Round 257, Average loss 0.053
Round 258, Average loss 0.061
Round 259, Average loss 0.068
Round 260, Average loss 0.084
Round 261, Average loss 0.067
Round 262, Average loss 0.068
Round 263, Average loss 0.063
Round 264, Average loss 0.066
Round 265, Average loss 0.073
Round 266, Average loss 0.066
Round 267, Average loss 0.072
Round 268, Average loss 0.071
Round 269, Average loss 0.064
Round 270, Average loss 0.057
Round 271, Average loss 0.064
Round 272, Average loss 0.061
Round 273, Average loss 0.055
Round 274, Average loss 0.058
Round 275, Average loss 0.058
Round 276, Average loss 0.053
Round 277, Average loss 0.065
Round 278, Average loss 0.055
Round 279, Average loss 0.051
Round 280, Average loss 0.056
Round 281, Average loss 0.048
Round 282, Average loss 0.062
Round 283, Average loss 0.065
Round 284, Average loss 0.053
Round 285, Average loss 0.060
Round 286, Average loss 0.058
Round 287, Average loss 0.056
Round 288, Average loss 0.054
Round 289, Average loss 0.067
Round 290, Average loss 0.057
Round 291, Average loss 0.052
Round 292, Average loss 0.073
Round 293, Average loss 0.062
Round 294, Average loss 0.056
Round 295, Average loss 0.048
Round 296, Average loss 0.050
Round 297, Average loss 0.050
Round 298, Average loss 0.057
Round 299, Average loss 0.051
Round 300, Average loss 0.048
Round 301, Average loss 0.050
Round 302, Average loss 0.057
Round 303, Average loss 0.054
Round 304, Average loss 0.049
Round 305, Average loss 0.046
Round 306, Average loss 0.052
Round 307, Average loss 0.045
Round 308, Average loss 0.042
Round 309, Average loss 0.054
Round 310, Average loss 0.045
Round 311, Average loss 0.051
Round 312, Average loss 0.049
Round 313, Average loss 0.041
Round 314, Average loss 0.040
Round 315, Average loss 0.054
Round 316, Average loss 0.048
Round 317, Average loss 0.047
Round 318, Average loss 0.058
Round 319, Average loss 0.043
Round 320, Average loss 0.038
Round 321, Average loss 0.049
Round 322, Average loss 0.050
Round 323, Average loss 0.044
Round 324, Average loss 0.046
Round 325, Average loss 0.044
Round 326, Average loss 0.045
Round 327, Average loss 0.034
Round 328, Average loss 0.049
Round 329, Average loss 0.045
Round 330, Average loss 0.037
Round 331, Average loss 0.047
Round 332, Average loss 0.037
Round 333, Average loss 0.044
Round 334, Average loss 0.050
Round 335, Average loss 0.041
Round 336, Average loss 0.037
Round 337, Average loss 0.042
Round 338, Average loss 0.041
Round 339, Average loss 0.041
Round 340, Average loss 0.037
Round 341, Average loss 0.041
Round 342, Average loss 0.043
Round 343, Average loss 0.036
Round 344, Average loss 0.044
Round 345, Average loss 0.041
Round 346, Average loss 0.045
Round 347, Average loss 0.040
Round 348, Average loss 0.040
Round 349, Average loss 0.043
Round 350, Average loss 0.032
Round 351, Average loss 0.035
Round 352, Average loss 0.045
Round 353, Average loss 0.040
Round 354, Average loss 0.043
Round 355, Average loss 0.039
Round 356, Average loss 0.038
Round 357, Average loss 0.033
Round 358, Average loss 0.055
Round 359, Average loss 0.038
Round 360, Average loss 0.037
Round 361, Average loss 0.034
Round 362, Average loss 0.041
Round 363, Average loss 0.034
Round 364, Average loss 0.033
Round 365, Average loss 0.029
Round 366, Average loss 0.040
Round 367, Average loss 0.036
Round 368, Average loss 0.049
Round 369, Average loss 0.042
Round 370, Average loss 0.038
Round 371, Average loss 0.035
