Model: LeNet
Num epochs: 1000
Num local epochs: 10
Num of clients: 200
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.123
Round   1, Average loss 4.114
Round   2, Average loss 4.105
Round   3, Average loss 4.094
Round   4, Average loss 4.076
Round   5, Average loss 4.058
Round   6, Average loss 4.036
Round   7, Average loss 3.986
Round   8, Average loss 3.916
Round   9, Average loss 3.828
Round  10, Average loss 3.724
Round  11, Average loss 3.626
Round  12, Average loss 3.550
Round  13, Average loss 3.529
Round  14, Average loss 3.472
Round  15, Average loss 3.450
Round  16, Average loss 3.470
Round  17, Average loss 3.405
Round  18, Average loss 3.412
Round  19, Average loss 3.372
Round  20, Average loss 3.371
Round  21, Average loss 3.355
Round  22, Average loss 3.348
Round  23, Average loss 3.334
Round  24, Average loss 3.317
Round  25, Average loss 3.312
Round  26, Average loss 3.287
Round  27, Average loss 3.281
Round  28, Average loss 3.282
Round  29, Average loss 3.260
Round  30, Average loss 3.272
Round  31, Average loss 3.260
Round  32, Average loss 3.239
Round  33, Average loss 3.243
Round  34, Average loss 3.197
Round  35, Average loss 3.233
Round  36, Average loss 3.205
Round  37, Average loss 3.214
Round  38, Average loss 3.197
Round  39, Average loss 3.162
Round  40, Average loss 3.185
Round  41, Average loss 3.177
Round  42, Average loss 3.134
Round  43, Average loss 3.125
Round  44, Average loss 3.112
Round  45, Average loss 3.086
Round  46, Average loss 3.078
Round  47, Average loss 3.074
Round  48, Average loss 3.043
Round  49, Average loss 3.009
Round  50, Average loss 2.999
Round  51, Average loss 2.986
Round  52, Average loss 2.962
Round  53, Average loss 2.914
Round  54, Average loss 2.891
Round  55, Average loss 2.868
Round  56, Average loss 2.851
Round  57, Average loss 2.778
Round  58, Average loss 2.749
Round  59, Average loss 2.683
Round  60, Average loss 2.677
Round  61, Average loss 2.635
Round  62, Average loss 2.587
Round  63, Average loss 2.527
Round  64, Average loss 2.493
Round  65, Average loss 2.444
Round  66, Average loss 2.424
Round  67, Average loss 2.391
Round  68, Average loss 2.312
Round  69, Average loss 2.312
Round  70, Average loss 2.221
Round  71, Average loss 2.187
Round  72, Average loss 2.119
Round  73, Average loss 2.134
Round  74, Average loss 2.083
Round  75, Average loss 2.021
Round  76, Average loss 1.978
Round  77, Average loss 1.969
Round  78, Average loss 1.896
Round  79, Average loss 1.892
Round  80, Average loss 1.826
Round  81, Average loss 1.783
Round  82, Average loss 1.741
Round  83, Average loss 1.731
Round  84, Average loss 1.674
Round  85, Average loss 1.660
