Model: LeNet
Num epochs: 500
Num local epochs: 15
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.130
Round   1, Average loss 4.109
Round   2, Average loss 4.084
Round   3, Average loss 4.021
Round   4, Average loss 3.884
Round   5, Average loss 3.705
Round   6, Average loss 3.587
Round   7, Average loss 3.499
Round   8, Average loss 3.388
Round   9, Average loss 3.358
Round  10, Average loss 3.289
Round  11, Average loss 3.290
Round  12, Average loss 3.226
Round  13, Average loss 3.163
Round  14, Average loss 3.110
Round  15, Average loss 3.095
Round  16, Average loss 3.012
Round  17, Average loss 2.922
Round  18, Average loss 2.871
Round  19, Average loss 2.823
Round  20, Average loss 2.688
Round  21, Average loss 2.603
Round  22, Average loss 2.537
Round  23, Average loss 2.438
Round  24, Average loss 2.392
Round  25, Average loss 2.291
Round  26, Average loss 2.213
Round  27, Average loss 2.090
Round  28, Average loss 2.012
Round  29, Average loss 1.929
Round  30, Average loss 1.803
Round  31, Average loss 1.723
Round  32, Average loss 1.690
Round  33, Average loss 1.576
Round  34, Average loss 1.498
Round  35, Average loss 1.423
Round  36, Average loss 1.389
Round  37, Average loss 1.318
Round  38, Average loss 1.217
Round  39, Average loss 1.155
Round  40, Average loss 1.093
Round  41, Average loss 1.056
Round  42, Average loss 1.035
Round  43, Average loss 0.954
Round  44, Average loss 0.900
Round  45, Average loss 0.856
Round  46, Average loss 0.833
Round  47, Average loss 0.828
Round  48, Average loss 0.761
Round  49, Average loss 0.714
Round  50, Average loss 0.686
Round  51, Average loss 0.670
Round  52, Average loss 0.642
Round  53, Average loss 0.621
Round  54, Average loss 0.599
Round  55, Average loss 0.594
Round  56, Average loss 0.555
Round  57, Average loss 0.529
Round  58, Average loss 0.496
Round  59, Average loss 0.492
Round  60, Average loss 0.460
Round  61, Average loss 0.462
Round  62, Average loss 0.432
Round  63, Average loss 0.413
Round  64, Average loss 0.418
Round  65, Average loss 0.394
Round  66, Average loss 0.369
Round  67, Average loss 0.375
Round  68, Average loss 0.364
Round  69, Average loss 0.354
Round  70, Average loss 0.324
Round  71, Average loss 0.328
Round  72, Average loss 0.332
Round  73, Average loss 0.321
Round  74, Average loss 0.277
Round  75, Average loss 0.287
Round  76, Average loss 0.294
Round  77, Average loss 0.257
Round  78, Average loss 0.284
Round  79, Average loss 0.250
Round  80, Average loss 0.248
Round  81, Average loss 0.245
Round  82, Average loss 0.251
Round  83, Average loss 0.229
Round  84, Average loss 0.241
Round  85, Average loss 0.205
Round  86, Average loss 0.198
Round  87, Average loss 0.221
Round  88, Average loss 0.193
Round  89, Average loss 0.199
Round  90, Average loss 0.193
Round  91, Average loss 0.183
Round  92, Average loss 0.188
Round  93, Average loss 0.169
Round  94, Average loss 0.179
Round  95, Average loss 0.179
Round  96, Average loss 0.177
Round  97, Average loss 0.159
Round  98, Average loss 0.149
Round  99, Average loss 0.148
Round 100, Average loss 0.159
Round 101, Average loss 0.151
Round 102, Average loss 0.150
Round 103, Average loss 0.151
Round 104, Average loss 0.142
Round 105, Average loss 0.133
Round 106, Average loss 0.142
Round 107, Average loss 0.132
Round 108, Average loss 0.134
Round 109, Average loss 0.136
Round 110, Average loss 0.121
Round 111, Average loss 0.137
Round 112, Average loss 0.116
Round 113, Average loss 0.129
Round 114, Average loss 0.137
Round 115, Average loss 0.116
Round 116, Average loss 0.129
Round 117, Average loss 0.109
Round 118, Average loss 0.106
Round 119, Average loss 0.106
Round 120, Average loss 0.110
Round 121, Average loss 0.124
Round 122, Average loss 0.102
Round 123, Average loss 0.115
Round 124, Average loss 0.099
Round 125, Average loss 0.104
Round 126, Average loss 0.108
Round 127, Average loss 0.104
Round 128, Average loss 0.097
Round 129, Average loss 0.082
Round 130, Average loss 0.095
Round 131, Average loss 0.089
Round 132, Average loss 0.098
Round 133, Average loss 0.087
Round 134, Average loss 0.079
Round 135, Average loss 0.099
Round 136, Average loss 0.085
Round 137, Average loss 0.100
Round 138, Average loss 0.083
Round 139, Average loss 0.075
Round 140, Average loss 0.081
Round 141, Average loss 0.086
Round 142, Average loss 0.074
Round 143, Average loss 0.066
Round 144, Average loss 0.076
Round 145, Average loss 0.070
Round 146, Average loss 0.075
Round 147, Average loss 0.075
Round 148, Average loss 0.083
Round 149, Average loss 0.065
Round 150, Average loss 0.086
Round 151, Average loss 0.086
Round 152, Average loss 0.068
Round 153, Average loss 0.067
Round 154, Average loss 0.081
Round 155, Average loss 0.075
Round 156, Average loss 0.065
Round 157, Average loss 0.079
Round 158, Average loss 0.068
Round 159, Average loss 0.065
Round 160, Average loss 0.058
Round 161, Average loss 0.075
Round 162, Average loss 0.065
Round 163, Average loss 0.056
Round 164, Average loss 0.067
Round 165, Average loss 0.057
Round 166, Average loss 0.055
Round 167, Average loss 0.058
Round 168, Average loss 0.053
Round 169, Average loss 0.055
Round 170, Average loss 0.059
Round 171, Average loss 0.049
Round 172, Average loss 0.054
Round 173, Average loss 0.064
Round 174, Average loss 0.053
Round 175, Average loss 0.054
Round 176, Average loss 0.051
Round 177, Average loss 0.050
Round 178, Average loss 0.052
Round 179, Average loss 0.055
Round 180, Average loss 0.044
Round 181, Average loss 0.059
Round 182, Average loss 0.051
Round 183, Average loss 0.044
Round 184, Average loss 0.049
Round 185, Average loss 0.056
Round 186, Average loss 0.045
Round 187, Average loss 0.057
Round 188, Average loss 0.044
Round 189, Average loss 0.049
Round 190, Average loss 0.056
Round 191, Average loss 0.056
Round 192, Average loss 0.042
Round 193, Average loss 0.044
Round 194, Average loss 0.060
Round 195, Average loss 0.041
Round 196, Average loss 0.044
Round 197, Average loss 0.037
Round 198, Average loss 0.044
Round 199, Average loss 0.048
Round 200, Average loss 0.046
Round 201, Average loss 0.047
Round 202, Average loss 0.042
Round 203, Average loss 0.048
Round 204, Average loss 0.038
Round 205, Average loss 0.043
Round 206, Average loss 0.047
Round 207, Average loss 0.047
Round 208, Average loss 0.033
Round 209, Average loss 0.035
Round 210, Average loss 0.035
Round 211, Average loss 0.037
Round 212, Average loss 0.046
Round 213, Average loss 0.041
Round 214, Average loss 0.039
Round 215, Average loss 0.043
Round 216, Average loss 0.033
Round 217, Average loss 0.032
Round 218, Average loss 0.041
Round 219, Average loss 0.044
Round 220, Average loss 0.037
Round 221, Average loss 0.049
Round 222, Average loss 0.029
Round 223, Average loss 0.040
Round 224, Average loss 0.036
Round 225, Average loss 0.037
Round 226, Average loss 0.036
Round 227, Average loss 0.033
Round 228, Average loss 0.032
Round 229, Average loss 0.034
Round 230, Average loss 0.032
Round 231, Average loss 0.028
Round 232, Average loss 0.031
Round 233, Average loss 0.031
Round 234, Average loss 0.029
Round 235, Average loss 0.032
Round 236, Average loss 0.032
Round 237, Average loss 0.034
Round 238, Average loss 0.030
Round 239, Average loss 0.035
Round 240, Average loss 0.028
Round 241, Average loss 0.025
Round 242, Average loss 0.033
Round 243, Average loss 0.026
Round 244, Average loss 0.033
Round 245, Average loss 0.033
Round 246, Average loss 0.030
Round 247, Average loss 0.028
Round 248, Average loss 0.033
Round 249, Average loss 0.025
Round 250, Average loss 0.026
Round 251, Average loss 0.038
Round 252, Average loss 0.035
Round 253, Average loss 0.045
Round 254, Average loss 0.033
Round 255, Average loss 0.030
Round 256, Average loss 0.033
Round 257, Average loss 0.034
Round 258, Average loss 0.027
Round 259, Average loss 0.033
Round 260, Average loss 0.029
Round 261, Average loss 0.030
Round 262, Average loss 0.028
Round 263, Average loss 0.026
Round 264, Average loss 0.022
Round 265, Average loss 0.032
Round 266, Average loss 0.026
Round 267, Average loss 0.024
Round 268, Average loss 0.030
Round 269, Average loss 0.032
Round 270, Average loss 0.023
Round 271, Average loss 0.027
Round 272, Average loss 0.024
Round 273, Average loss 0.024
Round 274, Average loss 0.037
Round 275, Average loss 0.023
Round 276, Average loss 0.031
Round 277, Average loss 0.031
Round 278, Average loss 0.024
Round 279, Average loss 0.031
Round 280, Average loss 0.019
Round 281, Average loss 0.021
Round 282, Average loss 0.022
Round 283, Average loss 0.021
Round 284, Average loss 0.021
Round 285, Average loss 0.021
Round 286, Average loss 0.026
Round 287, Average loss 0.031
Round 288, Average loss 0.025
Round 289, Average loss 0.024
Round 290, Average loss 0.025
Round 291, Average loss 0.026
Round 292, Average loss 0.022
Round 293, Average loss 0.022
Round 294, Average loss 0.025
Round 295, Average loss 0.024
Round 296, Average loss 0.021
Round 297, Average loss 0.022
Round 298, Average loss 0.022
Round 299, Average loss 0.020
Round 300, Average loss 0.023
Round 301, Average loss 0.016
Round 302, Average loss 0.018
Round 303, Average loss 0.030
Round 304, Average loss 0.020
Round 305, Average loss 0.025
Round 306, Average loss 0.020
Round 307, Average loss 0.018
Round 308, Average loss 0.017
Round 309, Average loss 0.019
Round 310, Average loss 0.030
Round 311, Average loss 0.024
Round 312, Average loss 0.022
Round 313, Average loss 0.019
