Model: LeNet
Num epochs: 100
Num local epochs: 10
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.128
Round   1, Average loss 4.110
Round   2, Average loss 4.092
Round   3, Average loss 4.067
Round   4, Average loss 4.024
Round   5, Average loss 3.921
Round   6, Average loss 3.770
Round   7, Average loss 3.622
Round   8, Average loss 3.513
Round   9, Average loss 3.515
Round  10, Average loss 3.484
Round  11, Average loss 3.452
Round  12, Average loss 3.414
Round  13, Average loss 3.413
Round  14, Average loss 3.375
Round  15, Average loss 3.346
Round  16, Average loss 3.337
Round  17, Average loss 3.359
Round  18, Average loss 3.340
Round  19, Average loss 3.328
Round  20, Average loss 3.277
Round  21, Average loss 3.273
Round  22, Average loss 3.259
Round  23, Average loss 3.218
Round  24, Average loss 3.184
Round  25, Average loss 3.130
Round  26, Average loss 3.126
Round  27, Average loss 3.083
Round  28, Average loss 3.054
Round  29, Average loss 3.014
Round  30, Average loss 2.981
Round  31, Average loss 2.936
Round  32, Average loss 2.881
Round  33, Average loss 2.827
Round  34, Average loss 2.772
Round  35, Average loss 2.717
Round  36, Average loss 2.653
Round  37, Average loss 2.621
Round  38, Average loss 2.559
Round  39, Average loss 2.504
Round  40, Average loss 2.474
Round  41, Average loss 2.414
Round  42, Average loss 2.347
Round  43, Average loss 2.280
Round  44, Average loss 2.240
Round  45, Average loss 2.176
Round  46, Average loss 2.080
Round  47, Average loss 2.060
Round  48, Average loss 1.982
Round  49, Average loss 1.949
Round  50, Average loss 1.916
Round  51, Average loss 1.784
Round  52, Average loss 1.748
Round  53, Average loss 1.711
Round  54, Average loss 1.627
Round  55, Average loss 1.588
Round  56, Average loss 1.548
Round  57, Average loss 1.519
Round  58, Average loss 1.418
Round  59, Average loss 1.428
Round  60, Average loss 1.383
Round  61, Average loss 1.318
Round  62, Average loss 1.264
Round  63, Average loss 1.259
Round  64, Average loss 1.171
Round  65, Average loss 1.163
Round  66, Average loss 1.127
Round  67, Average loss 1.069
Round  68, Average loss 1.037
Round  69, Average loss 1.033
Round  70, Average loss 0.958
Round  71, Average loss 0.927
Round  72, Average loss 0.927
Round  73, Average loss 0.873
Round  74, Average loss 0.859
Round  75, Average loss 0.839
Round  76, Average loss 0.839
Round  77, Average loss 0.794
Round  78, Average loss 0.782
Round  79, Average loss 0.741
Round  80, Average loss 0.742
Round  81, Average loss 0.702
Round  82, Average loss 0.706
Round  83, Average loss 0.705
Round  84, Average loss 0.651
Round  85, Average loss 0.630
Round  86, Average loss 0.638
Round  87, Average loss 0.598
Round  88, Average loss 0.627
Round  89, Average loss 0.570
Round  90, Average loss 0.537
Round  91, Average loss 0.552
Round  92, Average loss 0.527
Round  93, Average loss 0.523
Round  94, Average loss 0.512
Round  95, Average loss 0.493
Round  96, Average loss 0.473
Round  97, Average loss 0.500
Round  98, Average loss 0.447
Round  99, Average loss 0.481
Training accuracy: 85.79
Testing accuracy: 73.08
--- 1084.407016992569 seconds ---
