Model: LeNet
Num epochs: 1000
Num local epochs: 15
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.106
Round   1, Average loss 4.067
Round   2, Average loss 3.979
Round   3, Average loss 3.774
Round   4, Average loss 3.602
Round   5, Average loss 3.487
Round   6, Average loss 3.439
Round   7, Average loss 3.347
Round   8, Average loss 3.339
Round   9, Average loss 3.318
Round  10, Average loss 3.291
Round  11, Average loss 3.265
Round  12, Average loss 3.229
Round  13, Average loss 3.207
Round  14, Average loss 3.156
Round  15, Average loss 3.100
Round  16, Average loss 3.049
Round  17, Average loss 2.975
Round  18, Average loss 2.898
Round  19, Average loss 2.853
Round  20, Average loss 2.727
Round  21, Average loss 2.641
Round  22, Average loss 2.517
Round  23, Average loss 2.415
Round  24, Average loss 2.304
Round  25, Average loss 2.220
Round  26, Average loss 2.128
Round  27, Average loss 1.982
Round  28, Average loss 1.892
Round  29, Average loss 1.808
Round  30, Average loss 1.753
Round  31, Average loss 1.643
Round  32, Average loss 1.514
Round  33, Average loss 1.453
Round  34, Average loss 1.354
Round  35, Average loss 1.278
Round  36, Average loss 1.270
Round  37, Average loss 1.159
Round  38, Average loss 1.085
Round  39, Average loss 1.035
Round  40, Average loss 1.052
Round  41, Average loss 0.957
Round  42, Average loss 0.919
Round  43, Average loss 0.849
Round  44, Average loss 0.804
Round  45, Average loss 0.814
Round  46, Average loss 0.760
Round  47, Average loss 0.691
Round  48, Average loss 0.687
Round  49, Average loss 0.634
Round  50, Average loss 0.648
Round  51, Average loss 0.586
Round  52, Average loss 0.572
Round  53, Average loss 0.533
Round  54, Average loss 0.514
Round  55, Average loss 0.527
Round  56, Average loss 0.499
Round  57, Average loss 0.466
Round  58, Average loss 0.428
Round  59, Average loss 0.481
Round  60, Average loss 0.417
Round  61, Average loss 0.413
Round  62, Average loss 0.390
Round  63, Average loss 0.398
Round  64, Average loss 0.386
Round  65, Average loss 0.355
Round  66, Average loss 0.357
Round  67, Average loss 0.327
Round  68, Average loss 0.324
Round  69, Average loss 0.332
Round  70, Average loss 0.332
Round  71, Average loss 0.295
Round  72, Average loss 0.307
Round  73, Average loss 0.279
Round  74, Average loss 0.284
Round  75, Average loss 0.264
Round  76, Average loss 0.264
Round  77, Average loss 0.249
Round  78, Average loss 0.250
Round  79, Average loss 0.235
Round  80, Average loss 0.227
Round  81, Average loss 0.219
Round  82, Average loss 0.215
Round  83, Average loss 0.227
Round  84, Average loss 0.203
Round  85, Average loss 0.200
Round  86, Average loss 0.194
Round  87, Average loss 0.187
Round  88, Average loss 0.208
Round  89, Average loss 0.192
Round  90, Average loss 0.176
Round  91, Average loss 0.179
Round  92, Average loss 0.176
Round  93, Average loss 0.179
Round  94, Average loss 0.158
Round  95, Average loss 0.177
Round  96, Average loss 0.150
Round  97, Average loss 0.163
Round  98, Average loss 0.153
Round  99, Average loss 0.145
Round 100, Average loss 0.152
Round 101, Average loss 0.141
Round 102, Average loss 0.151
Round 103, Average loss 0.133
Round 104, Average loss 0.137
Round 105, Average loss 0.153
Round 106, Average loss 0.132
Round 107, Average loss 0.127
Round 108, Average loss 0.137
Round 109, Average loss 0.114
Round 110, Average loss 0.134
Round 111, Average loss 0.134
Round 112, Average loss 0.131
Round 113, Average loss 0.131
Round 114, Average loss 0.119
Round 115, Average loss 0.105
Round 116, Average loss 0.125
Round 117, Average loss 0.110
Round 118, Average loss 0.130
Round 119, Average loss 0.112
Round 120, Average loss 0.103
Round 121, Average loss 0.104
Round 122, Average loss 0.104
Round 123, Average loss 0.093
Round 124, Average loss 0.093
Round 125, Average loss 0.097
Round 126, Average loss 0.083
Round 127, Average loss 0.091
Round 128, Average loss 0.090
Round 129, Average loss 0.097
Round 130, Average loss 0.096
Round 131, Average loss 0.084
Round 132, Average loss 0.082
Round 133, Average loss 0.083
Round 134, Average loss 0.085
Round 135, Average loss 0.090
Round 136, Average loss 0.081
Round 137, Average loss 0.089
Round 138, Average loss 0.080
Round 139, Average loss 0.078
Round 140, Average loss 0.088
Round 141, Average loss 0.087
Round 142, Average loss 0.082
Round 143, Average loss 0.076
Round 144, Average loss 0.069
Round 145, Average loss 0.081
Round 146, Average loss 0.076
Round 147, Average loss 0.082
Round 148, Average loss 0.063
Round 149, Average loss 0.062
Round 150, Average loss 0.072
Round 151, Average loss 0.062
Round 152, Average loss 0.075
Round 153, Average loss 0.073
Round 154, Average loss 0.066
Round 155, Average loss 0.060
Round 156, Average loss 0.075
Round 157, Average loss 0.064
Round 158, Average loss 0.060
Round 159, Average loss 0.061
Round 160, Average loss 0.068
Round 161, Average loss 0.055
Round 162, Average loss 0.056
Round 163, Average loss 0.057
Round 164, Average loss 0.066
Round 165, Average loss 0.048
Round 166, Average loss 0.070
Round 167, Average loss 0.057
Round 168, Average loss 0.056
Round 169, Average loss 0.061
Round 170, Average loss 0.062
Round 171, Average loss 0.068
Round 172, Average loss 0.055
Round 173, Average loss 0.053
Round 174, Average loss 0.061
Round 175, Average loss 0.062
Round 176, Average loss 0.059
Round 177, Average loss 0.059
Round 178, Average loss 0.063
Round 179, Average loss 0.050
Round 180, Average loss 0.054
Round 181, Average loss 0.055
Round 182, Average loss 0.061
Round 183, Average loss 0.048
Round 184, Average loss 0.051
Round 185, Average loss 0.050
Round 186, Average loss 0.053
Round 187, Average loss 0.043
Round 188, Average loss 0.057
Round 189, Average loss 0.059
Round 190, Average loss 0.050
Round 191, Average loss 0.048
Round 192, Average loss 0.046
Round 193, Average loss 0.047
Round 194, Average loss 0.046
Round 195, Average loss 0.040
Round 196, Average loss 0.038
Round 197, Average loss 0.036
Round 198, Average loss 0.052
Round 199, Average loss 0.052
Round 200, Average loss 0.045
Round 201, Average loss 0.036
Round 202, Average loss 0.040
Round 203, Average loss 0.041
Round 204, Average loss 0.041
Round 205, Average loss 0.032
Round 206, Average loss 0.044
Round 207, Average loss 0.046
Round 208, Average loss 0.046
Round 209, Average loss 0.045
Round 210, Average loss 0.038
Round 211, Average loss 0.048
Round 212, Average loss 0.042
Round 213, Average loss 0.044
Round 214, Average loss 0.034
Round 215, Average loss 0.040
Round 216, Average loss 0.040
Round 217, Average loss 0.038
Round 218, Average loss 0.043
Round 219, Average loss 0.037
Round 220, Average loss 0.036
Round 221, Average loss 0.045
Round 222, Average loss 0.036
Round 223, Average loss 0.039
Round 224, Average loss 0.037
Round 225, Average loss 0.039
Round 226, Average loss 0.042
Round 227, Average loss 0.044
Round 228, Average loss 0.031
Round 229, Average loss 0.035
Round 230, Average loss 0.031
Round 231, Average loss 0.038
Round 232, Average loss 0.028
Round 233, Average loss 0.026
Round 234, Average loss 0.029
Round 235, Average loss 0.038
Round 236, Average loss 0.031
Round 237, Average loss 0.030
Round 238, Average loss 0.035
Round 239, Average loss 0.034
Round 240, Average loss 0.026
Round 241, Average loss 0.030
Round 242, Average loss 0.024
Round 243, Average loss 0.029
Round 244, Average loss 0.039
Round 245, Average loss 0.035
Round 246, Average loss 0.034
Round 247, Average loss 0.041
Round 248, Average loss 0.033
Round 249, Average loss 0.025
Round 250, Average loss 0.024
Round 251, Average loss 0.028
Round 252, Average loss 0.030
Round 253, Average loss 0.033
Round 254, Average loss 0.021
Round 255, Average loss 0.026
Round 256, Average loss 0.025
Round 257, Average loss 0.029
Round 258, Average loss 0.036
Round 259, Average loss 0.028
Round 260, Average loss 0.030
Round 261, Average loss 0.030
Round 262, Average loss 0.030
Round 263, Average loss 0.032
Round 264, Average loss 0.025
Round 265, Average loss 0.033
Round 266, Average loss 0.025
Round 267, Average loss 0.021
Round 268, Average loss 0.023
Round 269, Average loss 0.025
Round 270, Average loss 0.024
Round 271, Average loss 0.024
Round 272, Average loss 0.028
Round 273, Average loss 0.023
Round 274, Average loss 0.020
Round 275, Average loss 0.019
Round 276, Average loss 0.027
Round 277, Average loss 0.026
Round 278, Average loss 0.021
Round 279, Average loss 0.028
Round 280, Average loss 0.031
Round 281, Average loss 0.022
Round 282, Average loss 0.034
Round 283, Average loss 0.026
Round 284, Average loss 0.022
Round 285, Average loss 0.024
Round 286, Average loss 0.019
Round 287, Average loss 0.020
Round 288, Average loss 0.022
