Model: LeNet
Num epochs: 100
Num local epochs: 5
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.115
Round   1, Average loss 4.109
Round   2, Average loss 4.102
Round   3, Average loss 4.092
Round   4, Average loss 4.081
Round   5, Average loss 4.066
Round   6, Average loss 4.044
Round   7, Average loss 4.015
Round   8, Average loss 3.966
Round   9, Average loss 3.907
Round  10, Average loss 3.838
Round  11, Average loss 3.794
Round  12, Average loss 3.729
Round  13, Average loss 3.691
Round  14, Average loss 3.619
Round  15, Average loss 3.576
Round  16, Average loss 3.548
Round  17, Average loss 3.512
Round  18, Average loss 3.481
Round  19, Average loss 3.485
Round  20, Average loss 3.443
Round  21, Average loss 3.430
Round  22, Average loss 3.439
Round  23, Average loss 3.413
Round  24, Average loss 3.385
Round  25, Average loss 3.368
Round  26, Average loss 3.385
Round  27, Average loss 3.370
Round  28, Average loss 3.342
Round  29, Average loss 3.344
Round  30, Average loss 3.356
Round  31, Average loss 3.352
Round  32, Average loss 3.321
Round  33, Average loss 3.291
Round  34, Average loss 3.335
Round  35, Average loss 3.314
Round  36, Average loss 3.302
Round  37, Average loss 3.283
Round  38, Average loss 3.288
Round  39, Average loss 3.256
Round  40, Average loss 3.268
Round  41, Average loss 3.251
Round  42, Average loss 3.274
Round  43, Average loss 3.227
Round  44, Average loss 3.231
Round  45, Average loss 3.233
Round  46, Average loss 3.219
Round  47, Average loss 3.186
Round  48, Average loss 3.176
Round  49, Average loss 3.140
Round  50, Average loss 3.124
Round  51, Average loss 3.112
Round  52, Average loss 3.120
Round  53, Average loss 3.078
Round  54, Average loss 3.047
Round  55, Average loss 3.041
Round  56, Average loss 3.007
Round  57, Average loss 2.992
Round  58, Average loss 2.932
Round  59, Average loss 2.926
Round  60, Average loss 2.919
Round  61, Average loss 2.853
Round  62, Average loss 2.846
Round  63, Average loss 2.790
Round  64, Average loss 2.780
Round  65, Average loss 2.744
Round  66, Average loss 2.700
Round  67, Average loss 2.705
Round  68, Average loss 2.659
Round  69, Average loss 2.617
Round  70, Average loss 2.613
Round  71, Average loss 2.530
Round  72, Average loss 2.518
Round  73, Average loss 2.504
Round  74, Average loss 2.423
Round  75, Average loss 2.425
Round  76, Average loss 2.418
Round  77, Average loss 2.356
Round  78, Average loss 2.337
Round  79, Average loss 2.281
Round  80, Average loss 2.247
Round  81, Average loss 2.228
Round  82, Average loss 2.151
Round  83, Average loss 2.155
Round  84, Average loss 2.130
Round  85, Average loss 2.116
Round  86, Average loss 2.076
Round  87, Average loss 2.008
Round  88, Average loss 1.951
Round  89, Average loss 1.997
Round  90, Average loss 1.950
Round  91, Average loss 1.891
Round  92, Average loss 1.866
Round  93, Average loss 1.821
Round  94, Average loss 1.815
Round  95, Average loss 1.744
Round  96, Average loss 1.725
Round  97, Average loss 1.697
Round  98, Average loss 1.637
Round  99, Average loss 1.664
Training accuracy: 53.64
Testing accuracy: 47.52
--- 549.198808670044 seconds ---
