Model: LeNet
Num epochs: 500
Num local epochs: 5
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.128
Round   1, Average loss 4.120
Round   2, Average loss 4.113
Round   3, Average loss 4.100
Round   4, Average loss 4.088
Round   5, Average loss 4.074
Round   6, Average loss 4.052
Round   7, Average loss 4.017
Round   8, Average loss 3.955
Round   9, Average loss 3.860
Round  10, Average loss 3.760
Round  11, Average loss 3.646
Round  12, Average loss 3.596
Round  13, Average loss 3.537
Round  14, Average loss 3.523
Round  15, Average loss 3.497
Round  16, Average loss 3.496
Round  17, Average loss 3.464
Round  18, Average loss 3.451
Round  19, Average loss 3.439
Round  20, Average loss 3.438
Round  21, Average loss 3.428
Round  22, Average loss 3.416
Round  23, Average loss 3.417
Round  24, Average loss 3.398
Round  25, Average loss 3.378
Round  26, Average loss 3.353
Round  27, Average loss 3.374
Round  28, Average loss 3.368
Round  29, Average loss 3.339
Round  30, Average loss 3.342
Round  31, Average loss 3.341
Round  32, Average loss 3.328
Round  33, Average loss 3.338
Round  34, Average loss 3.320
Round  35, Average loss 3.335
Round  36, Average loss 3.306
Round  37, Average loss 3.285
Round  38, Average loss 3.305
Round  39, Average loss 3.279
Round  40, Average loss 3.281
Round  41, Average loss 3.285
Round  42, Average loss 3.285
Round  43, Average loss 3.280
Round  44, Average loss 3.259
Round  45, Average loss 3.250
Round  46, Average loss 3.249
Round  47, Average loss 3.221
Round  48, Average loss 3.215
Round  49, Average loss 3.219
Round  50, Average loss 3.194
Round  51, Average loss 3.197
Round  52, Average loss 3.178
Round  53, Average loss 3.141
Round  54, Average loss 3.165
Round  55, Average loss 3.140
Round  56, Average loss 3.128
Round  57, Average loss 3.126
Round  58, Average loss 3.082
Round  59, Average loss 3.081
Round  60, Average loss 3.034
Round  61, Average loss 3.039
Round  62, Average loss 3.005
Round  63, Average loss 2.979
Round  64, Average loss 2.964
Round  65, Average loss 2.894
Round  66, Average loss 2.906
Round  67, Average loss 2.907
Round  68, Average loss 2.861
Round  69, Average loss 2.828
Round  70, Average loss 2.826
Round  71, Average loss 2.780
Round  72, Average loss 2.742
Round  73, Average loss 2.665
Round  74, Average loss 2.682
Round  75, Average loss 2.621
Round  76, Average loss 2.581
Round  77, Average loss 2.578
Round  78, Average loss 2.547
Round  79, Average loss 2.504
Round  80, Average loss 2.469
Round  81, Average loss 2.441
Round  82, Average loss 2.434
Round  83, Average loss 2.405
Round  84, Average loss 2.341
Round  85, Average loss 2.263
Round  86, Average loss 2.279
Round  87, Average loss 2.253
Round  88, Average loss 2.209
Round  89, Average loss 2.174
Round  90, Average loss 2.090
Round  91, Average loss 2.105
Round  92, Average loss 2.059
Round  93, Average loss 2.007
Round  94, Average loss 1.992
Round  95, Average loss 2.015
Round  96, Average loss 1.946
Round  97, Average loss 1.920
Round  98, Average loss 1.901
Round  99, Average loss 1.872
Round 100, Average loss 1.802
Round 101, Average loss 1.823
Round 102, Average loss 1.799
Round 103, Average loss 1.725
Round 104, Average loss 1.732
Round 105, Average loss 1.695
Round 106, Average loss 1.659
Round 107, Average loss 1.630
Round 108, Average loss 1.608
Round 109, Average loss 1.579
Round 110, Average loss 1.539
Round 111, Average loss 1.552
Round 112, Average loss 1.493
Round 113, Average loss 1.494
Round 114, Average loss 1.444
Round 115, Average loss 1.444
Round 116, Average loss 1.395
Round 117, Average loss 1.380
Round 118, Average loss 1.375
Round 119, Average loss 1.343
Round 120, Average loss 1.310
Round 121, Average loss 1.267
