Model: LeNet
Num epochs: 100
Num local epochs: 10
Num of clients: 200
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.123
Round   1, Average loss 4.111
Round   2, Average loss 4.100
Round   3, Average loss 4.088
Round   4, Average loss 4.077
Round   5, Average loss 4.057
Round   6, Average loss 4.034
Round   7, Average loss 4.001
Round   8, Average loss 3.936
Round   9, Average loss 3.852
Round  10, Average loss 3.737
Round  11, Average loss 3.648
Round  12, Average loss 3.596
Round  13, Average loss 3.554
Round  14, Average loss 3.524
Round  15, Average loss 3.486
Round  16, Average loss 3.488
Round  17, Average loss 3.477
Round  18, Average loss 3.432
Round  19, Average loss 3.411
Round  20, Average loss 3.402
Round  21, Average loss 3.394
Round  22, Average loss 3.390
Round  23, Average loss 3.357
Round  24, Average loss 3.336
Round  25, Average loss 3.345
Round  26, Average loss 3.319
Round  27, Average loss 3.326
Round  28, Average loss 3.308
Round  29, Average loss 3.308
Round  30, Average loss 3.265
Round  31, Average loss 3.281
Round  32, Average loss 3.274
Round  33, Average loss 3.267
Round  34, Average loss 3.263
Round  35, Average loss 3.246
Round  36, Average loss 3.245
Round  37, Average loss 3.252
Round  38, Average loss 3.220
Round  39, Average loss 3.206
Round  40, Average loss 3.209
Round  41, Average loss 3.214
Round  42, Average loss 3.197
Round  43, Average loss 3.175
Round  44, Average loss 3.157
Round  45, Average loss 3.146
Round  46, Average loss 3.115
Round  47, Average loss 3.106
Round  48, Average loss 3.098
Round  49, Average loss 3.046
Round  50, Average loss 3.043
Round  51, Average loss 3.011
Round  52, Average loss 2.999
Round  53, Average loss 2.935
Round  54, Average loss 2.895
Round  55, Average loss 2.922
Round  56, Average loss 2.885
Round  57, Average loss 2.858
Round  58, Average loss 2.844
Round  59, Average loss 2.801
Round  60, Average loss 2.733
Round  61, Average loss 2.734
Round  62, Average loss 2.682
Round  63, Average loss 2.643
Round  64, Average loss 2.620
Round  65, Average loss 2.569
Round  66, Average loss 2.513
Round  67, Average loss 2.505
Round  68, Average loss 2.482
Round  69, Average loss 2.425
Round  70, Average loss 2.393
Round  71, Average loss 2.370
Round  72, Average loss 2.338
Round  73, Average loss 2.275
Round  74, Average loss 2.261
Round  75, Average loss 2.251
Round  76, Average loss 2.199
Round  77, Average loss 2.195
Round  78, Average loss 2.068
Round  79, Average loss 2.095
Round  80, Average loss 2.082
Round  81, Average loss 1.988
Round  82, Average loss 1.999
Round  83, Average loss 1.942
Round  84, Average loss 1.895
Round  85, Average loss 1.883
Round  86, Average loss 1.855
Round  87, Average loss 1.818
Round  88, Average loss 1.785
Round  89, Average loss 1.786
Round  90, Average loss 1.729
Round  91, Average loss 1.713
Round  92, Average loss 1.632
Round  93, Average loss 1.622
Round  94, Average loss 1.611
Round  95, Average loss 1.554
Round  96, Average loss 1.544
Round  97, Average loss 1.527
Round  98, Average loss 1.493
Round  99, Average loss 1.434
Training accuracy: 54.85
Testing accuracy: 49.16
--- 1107.6698820590973 seconds ---
