Model: LeNet
Num epochs: 1000
Num local epochs: 5
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.125
Round   1, Average loss 4.109
Round   2, Average loss 4.098
Round   3, Average loss 4.082
Round   4, Average loss 4.065
Round   5, Average loss 4.032
Round   6, Average loss 4.008
Round   7, Average loss 3.949
Round   8, Average loss 3.898
Round   9, Average loss 3.859
Round  10, Average loss 3.781
Round  11, Average loss 3.746
Round  12, Average loss 3.690
Round  13, Average loss 3.629
Round  14, Average loss 3.606
Round  15, Average loss 3.540
Round  16, Average loss 3.522
Round  17, Average loss 3.482
Round  18, Average loss 3.481
Round  19, Average loss 3.442
Round  20, Average loss 3.440
Round  21, Average loss 3.416
Round  22, Average loss 3.423
Round  23, Average loss 3.395
Round  24, Average loss 3.371
Round  25, Average loss 3.362
Round  26, Average loss 3.377
Round  27, Average loss 3.362
Round  28, Average loss 3.349
Round  29, Average loss 3.347
Round  30, Average loss 3.331
Round  31, Average loss 3.316
Round  32, Average loss 3.327
Round  33, Average loss 3.326
Round  34, Average loss 3.300
Round  35, Average loss 3.302
Round  36, Average loss 3.266
Round  37, Average loss 3.282
Round  38, Average loss 3.259
Round  39, Average loss 3.249
Round  40, Average loss 3.249
Round  41, Average loss 3.236
Round  42, Average loss 3.236
Round  43, Average loss 3.194
Round  44, Average loss 3.224
Round  45, Average loss 3.185
Round  46, Average loss 3.153
Round  47, Average loss 3.158
Round  48, Average loss 3.147
Round  49, Average loss 3.087
Round  50, Average loss 3.088
Round  51, Average loss 3.077
Round  52, Average loss 3.024
Round  53, Average loss 3.018
Round  54, Average loss 2.954
Round  55, Average loss 2.983
Round  56, Average loss 2.923
Round  57, Average loss 2.909
Round  58, Average loss 2.869
Round  59, Average loss 2.845
Round  60, Average loss 2.810
Round  61, Average loss 2.795
Round  62, Average loss 2.724
Round  63, Average loss 2.752
Round  64, Average loss 2.676
Round  65, Average loss 2.661
Round  66, Average loss 2.597
Round  67, Average loss 2.587
Round  68, Average loss 2.505
Round  69, Average loss 2.486
Round  70, Average loss 2.489
Round  71, Average loss 2.423
Round  72, Average loss 2.406
Round  73, Average loss 2.358
Round  74, Average loss 2.336
Round  75, Average loss 2.302
Round  76, Average loss 2.277
Round  77, Average loss 2.235
Round  78, Average loss 2.205
Round  79, Average loss 2.134
Round  80, Average loss 2.141
Round  81, Average loss 2.075
Round  82, Average loss 2.073
Round  83, Average loss 2.037
Round  84, Average loss 1.981
Round  85, Average loss 1.972
Round  86, Average loss 1.911
Round  87, Average loss 1.885
Round  88, Average loss 1.897
Round  89, Average loss 1.805
Round  90, Average loss 1.794
Round  91, Average loss 1.766
Round  92, Average loss 1.752
Round  93, Average loss 1.705
Round  94, Average loss 1.725
Round  95, Average loss 1.662
Round  96, Average loss 1.656
Round  97, Average loss 1.595
Round  98, Average loss 1.585
Round  99, Average loss 1.569
Round 100, Average loss 1.563
Round 101, Average loss 1.528
Round 102, Average loss 1.505
Round 103, Average loss 1.476
Round 104, Average loss 1.486
Round 105, Average loss 1.437
Round 106, Average loss 1.437
Round 107, Average loss 1.378
Round 108, Average loss 1.359
Round 109, Average loss 1.363
Round 110, Average loss 1.269
Round 111, Average loss 1.287
Round 112, Average loss 1.293
Round 113, Average loss 1.289
Round 114, Average loss 1.242
Round 115, Average loss 1.218
Round 116, Average loss 1.192
Round 117, Average loss 1.194
Round 118, Average loss 1.161
Round 119, Average loss 1.149
Round 120, Average loss 1.172
Round 121, Average loss 1.142
Round 122, Average loss 1.069
Round 123, Average loss 1.118
Round 124, Average loss 1.093
Round 125, Average loss 1.079
Round 126, Average loss 1.030
Round 127, Average loss 1.044
Round 128, Average loss 1.015
Round 129, Average loss 1.017
Round 130, Average loss 1.020
Round 131, Average loss 0.956
Round 132, Average loss 0.945
Round 133, Average loss 0.920
Round 134, Average loss 0.943
Round 135, Average loss 0.920
Round 136, Average loss 0.894
Round 137, Average loss 0.865
Round 138, Average loss 0.865
Round 139, Average loss 0.893
Round 140, Average loss 0.844
Round 141, Average loss 0.829
Round 142, Average loss 0.830
Round 143, Average loss 0.817
Round 144, Average loss 0.848
Round 145, Average loss 0.823
Round 146, Average loss 0.782
Round 147, Average loss 0.755
Round 148, Average loss 0.793
Round 149, Average loss 0.755
Round 150, Average loss 0.746
Round 151, Average loss 0.732
Round 152, Average loss 0.727
Round 153, Average loss 0.723
Round 154, Average loss 0.736
Round 155, Average loss 0.691
Round 156, Average loss 0.709
Round 157, Average loss 0.721
Round 158, Average loss 0.674
Round 159, Average loss 0.679
Round 160, Average loss 0.639
Round 161, Average loss 0.665
Round 162, Average loss 0.643
Round 163, Average loss 0.635
Round 164, Average loss 0.630
Round 165, Average loss 0.603
Round 166, Average loss 0.640
Round 167, Average loss 0.605
Round 168, Average loss 0.598
Round 169, Average loss 0.591
Round 170, Average loss 0.597
Round 171, Average loss 0.578
Round 172, Average loss 0.587
Round 173, Average loss 0.547
Round 174, Average loss 0.558
Round 175, Average loss 0.535
Round 176, Average loss 0.533
Round 177, Average loss 0.542
Round 178, Average loss 0.535
Round 179, Average loss 0.531
Round 180, Average loss 0.519
Round 181, Average loss 0.543
Round 182, Average loss 0.528
Round 183, Average loss 0.490
Round 184, Average loss 0.512
Round 185, Average loss 0.521
Round 186, Average loss 0.506
Round 187, Average loss 0.458
Round 188, Average loss 0.502
Round 189, Average loss 0.456
Round 190, Average loss 0.487
Round 191, Average loss 0.447
Round 192, Average loss 0.456
Round 193, Average loss 0.462
Round 194, Average loss 0.427
Round 195, Average loss 0.448
Round 196, Average loss 0.426
Round 197, Average loss 0.458
Round 198, Average loss 0.422
Round 199, Average loss 0.442
Round 200, Average loss 0.440
Round 201, Average loss 0.418
Round 202, Average loss 0.441
Round 203, Average loss 0.413
Round 204, Average loss 0.419
Round 205, Average loss 0.386
Round 206, Average loss 0.385
Round 207, Average loss 0.395
Round 208, Average loss 0.408
Round 209, Average loss 0.401
Round 210, Average loss 0.377
Round 211, Average loss 0.417
Round 212, Average loss 0.368
Round 213, Average loss 0.372
Round 214, Average loss 0.399
Round 215, Average loss 0.365
Round 216, Average loss 0.364
Round 217, Average loss 0.342
Round 218, Average loss 0.345
Round 219, Average loss 0.365
Round 220, Average loss 0.344
Round 221, Average loss 0.351
Round 222, Average loss 0.357
Round 223, Average loss 0.346
Round 224, Average loss 0.359
Round 225, Average loss 0.344
Round 226, Average loss 0.331
Round 227, Average loss 0.337
Round 228, Average loss 0.316
Round 229, Average loss 0.328
Round 230, Average loss 0.316
Round 231, Average loss 0.320
Round 232, Average loss 0.305
Round 233, Average loss 0.304
Round 234, Average loss 0.286
Round 235, Average loss 0.315
Round 236, Average loss 0.315
Round 237, Average loss 0.295
Round 238, Average loss 0.314
Round 239, Average loss 0.296
Round 240, Average loss 0.278
Round 241, Average loss 0.286
Round 242, Average loss 0.292
Round 243, Average loss 0.305
Round 244, Average loss 0.304
Round 245, Average loss 0.292
Round 246, Average loss 0.276
Round 247, Average loss 0.266
Round 248, Average loss 0.288
Round 249, Average loss 0.282
Round 250, Average loss 0.258
Round 251, Average loss 0.276
Round 252, Average loss 0.275
Round 253, Average loss 0.256
Round 254, Average loss 0.251
Round 255, Average loss 0.254
Round 256, Average loss 0.271
Round 257, Average loss 0.279
Round 258, Average loss 0.251
Round 259, Average loss 0.263
Round 260, Average loss 0.253
Round 261, Average loss 0.278
Round 262, Average loss 0.258
Round 263, Average loss 0.237
Round 264, Average loss 0.230
Round 265, Average loss 0.248
Round 266, Average loss 0.224
Round 267, Average loss 0.247
Round 268, Average loss 0.230
Round 269, Average loss 0.222
Round 270, Average loss 0.234
Round 271, Average loss 0.207
Round 272, Average loss 0.224
Round 273, Average loss 0.229
Round 274, Average loss 0.244
Round 275, Average loss 0.243
Round 276, Average loss 0.229
Round 277, Average loss 0.210
Round 278, Average loss 0.208
Round 279, Average loss 0.203
Round 280, Average loss 0.239
Round 281, Average loss 0.214
Round 282, Average loss 0.200
Round 283, Average loss 0.212
Round 284, Average loss 0.210
Round 285, Average loss 0.204
Round 286, Average loss 0.209
Round 287, Average loss 0.195
Round 288, Average loss 0.216
Round 289, Average loss 0.188
Round 290, Average loss 0.219
Round 291, Average loss 0.206
Round 292, Average loss 0.199
Round 293, Average loss 0.214
Round 294, Average loss 0.192
Round 295, Average loss 0.184
Round 296, Average loss 0.170
Round 297, Average loss 0.194
Round 298, Average loss 0.183
Round 299, Average loss 0.188
Round 300, Average loss 0.192
Round 301, Average loss 0.169
Round 302, Average loss 0.197
Round 303, Average loss 0.175
Round 304, Average loss 0.175
Round 305, Average loss 0.181
Round 306, Average loss 0.204
Round 307, Average loss 0.178
Round 308, Average loss 0.183
Round 309, Average loss 0.186
Round 310, Average loss 0.200
Round 311, Average loss 0.182
Round 312, Average loss 0.182
Round 313, Average loss 0.175
Round 314, Average loss 0.181
Round 315, Average loss 0.170
Round 316, Average loss 0.169
Round 317, Average loss 0.169
Round 318, Average loss 0.160
Round 319, Average loss 0.181
Round 320, Average loss 0.160
Round 321, Average loss 0.164
Round 322, Average loss 0.173
Round 323, Average loss 0.176
Round 324, Average loss 0.162
Round 325, Average loss 0.161
Round 326, Average loss 0.165
Round 327, Average loss 0.191
Round 328, Average loss 0.150
Round 329, Average loss 0.171
Round 330, Average loss 0.156
Round 331, Average loss 0.155
Round 332, Average loss 0.160
Round 333, Average loss 0.145
Round 334, Average loss 0.159
Round 335, Average loss 0.156
Round 336, Average loss 0.151
Round 337, Average loss 0.140
Round 338, Average loss 0.134
Round 339, Average loss 0.140
Round 340, Average loss 0.154
Round 341, Average loss 0.151
Round 342, Average loss 0.156
Round 343, Average loss 0.151
Round 344, Average loss 0.144
Round 345, Average loss 0.152
Round 346, Average loss 0.139
Round 347, Average loss 0.159
Round 348, Average loss 0.158
Round 349, Average loss 0.140
Round 350, Average loss 0.151
Round 351, Average loss 0.163
Round 352, Average loss 0.135
Round 353, Average loss 0.143
Round 354, Average loss 0.134
Round 355, Average loss 0.156
Round 356, Average loss 0.132
Round 357, Average loss 0.134
Round 358, Average loss 0.128
Round 359, Average loss 0.125
Round 360, Average loss 0.138
Round 361, Average loss 0.114
Round 362, Average loss 0.148
Round 363, Average loss 0.133
Round 364, Average loss 0.133
Round 365, Average loss 0.139
Round 366, Average loss 0.123
Round 367, Average loss 0.153
Round 368, Average loss 0.120
Round 369, Average loss 0.135
Round 370, Average loss 0.121
Round 371, Average loss 0.136
Round 372, Average loss 0.140
Round 373, Average loss 0.131
Round 374, Average loss 0.111
Round 375, Average loss 0.144
Round 376, Average loss 0.132
Round 377, Average loss 0.144
Round 378, Average loss 0.124
Round 379, Average loss 0.138
Round 380, Average loss 0.123
Round 381, Average loss 0.110
Round 382, Average loss 0.111
Round 383, Average loss 0.125
Round 384, Average loss 0.126
Round 385, Average loss 0.123
Round 386, Average loss 0.122
Round 387, Average loss 0.117
Round 388, Average loss 0.113
Round 389, Average loss 0.116
Round 390, Average loss 0.123
Round 391, Average loss 0.116
Round 392, Average loss 0.113
Round 393, Average loss 0.120
Round 394, Average loss 0.121
Round 395, Average loss 0.107
Round 396, Average loss 0.117
Round 397, Average loss 0.119
Round 398, Average loss 0.123
Round 399, Average loss 0.102
Round 400, Average loss 0.120
Round 401, Average loss 0.102
Round 402, Average loss 0.095
Round 403, Average loss 0.108
Round 404, Average loss 0.100
Round 405, Average loss 0.102
Round 406, Average loss 0.116
Round 407, Average loss 0.098
Round 408, Average loss 0.108
Round 409, Average loss 0.101
Round 410, Average loss 0.108
Round 411, Average loss 0.102
Round 412, Average loss 0.102
Round 413, Average loss 0.105
Round 414, Average loss 0.093
Round 415, Average loss 0.096
Round 416, Average loss 0.114
Round 417, Average loss 0.105
Round 418, Average loss 0.124
Round 419, Average loss 0.101
Round 420, Average loss 0.103
Round 421, Average loss 0.100
Round 422, Average loss 0.095
Round 423, Average loss 0.097
Round 424, Average loss 0.110
Round 425, Average loss 0.094
Round 426, Average loss 0.117
Round 427, Average loss 0.109
Round 428, Average loss 0.093
Round 429, Average loss 0.089
Round 430, Average loss 0.103
Round 431, Average loss 0.103
Round 432, Average loss 0.089
Round 433, Average loss 0.114
Round 434, Average loss 0.084
Round 435, Average loss 0.124
Round 436, Average loss 0.096
Round 437, Average loss 0.090
Round 438, Average loss 0.091
Round 439, Average loss 0.084
Round 440, Average loss 0.100
Round 441, Average loss 0.096
Round 442, Average loss 0.098
Round 443, Average loss 0.087
Round 444, Average loss 0.090
Round 445, Average loss 0.083
Round 446, Average loss 0.089
Round 447, Average loss 0.096
Round 448, Average loss 0.088
Round 449, Average loss 0.093
Round 450, Average loss 0.084
Round 451, Average loss 0.080
Round 452, Average loss 0.095
Round 453, Average loss 0.083
Round 454, Average loss 0.112
Round 455, Average loss 0.074
Round 456, Average loss 0.083
Round 457, Average loss 0.096
Round 458, Average loss 0.084
Round 459, Average loss 0.085
Round 460, Average loss 0.090
Round 461, Average loss 0.075
Round 462, Average loss 0.085
Round 463, Average loss 0.080
Round 464, Average loss 0.073
Round 465, Average loss 0.087
Round 466, Average loss 0.093
Round 467, Average loss 0.083
Round 468, Average loss 0.064
Round 469, Average loss 0.081
Round 470, Average loss 0.088
Round 471, Average loss 0.090
Round 472, Average loss 0.076
Round 473, Average loss 0.080
Round 474, Average loss 0.102
Round 475, Average loss 0.089
Round 476, Average loss 0.087
Round 477, Average loss 0.082
Round 478, Average loss 0.080
Round 479, Average loss 0.088
Round 480, Average loss 0.085
Round 481, Average loss 0.076
Round 482, Average loss 0.078
Round 483, Average loss 0.080
Round 484, Average loss 0.088
Round 485, Average loss 0.091
Round 486, Average loss 0.100
Round 487, Average loss 0.076
Round 488, Average loss 0.075
Round 489, Average loss 0.099
Round 490, Average loss 0.061
Round 491, Average loss 0.061
Round 492, Average loss 0.072
Round 493, Average loss 0.074
Round 494, Average loss 0.070
Round 495, Average loss 0.060
Round 496, Average loss 0.071
Round 497, Average loss 0.068
Round 498, Average loss 0.070
Round 499, Average loss 0.065
Round 500, Average loss 0.075
Round 501, Average loss 0.072
Round 502, Average loss 0.071
Round 503, Average loss 0.079
Round 504, Average loss 0.082
Round 505, Average loss 0.073
Round 506, Average loss 0.084
Round 507, Average loss 0.075
Round 508, Average loss 0.073
Round 509, Average loss 0.064
Round 510, Average loss 0.057
Round 511, Average loss 0.067
Round 512, Average loss 0.065
Round 513, Average loss 0.061
Round 514, Average loss 0.054
Round 515, Average loss 0.076
Round 516, Average loss 0.059
Round 517, Average loss 0.082
Round 518, Average loss 0.060
Round 519, Average loss 0.087
Round 520, Average loss 0.075
Round 521, Average loss 0.068
Round 522, Average loss 0.076
Round 523, Average loss 0.077
Round 524, Average loss 0.061
Round 525, Average loss 0.061
Round 526, Average loss 0.091
Round 527, Average loss 0.069
Round 528, Average loss 0.064
Round 529, Average loss 0.062
Round 530, Average loss 0.077
Round 531, Average loss 0.067
Round 532, Average loss 0.060
Round 533, Average loss 0.084
Round 534, Average loss 0.056
Round 535, Average loss 0.059
Round 536, Average loss 0.070
Round 537, Average loss 0.061
Round 538, Average loss 0.058
Round 539, Average loss 0.071
Round 540, Average loss 0.056
Round 541, Average loss 0.076
Round 542, Average loss 0.085
Round 543, Average loss 0.055
Round 544, Average loss 0.054
Round 545, Average loss 0.068
Round 546, Average loss 0.066
Round 547, Average loss 0.059
Round 548, Average loss 0.060
Round 549, Average loss 0.052
Round 550, Average loss 0.062
Round 551, Average loss 0.058
Round 552, Average loss 0.054
Round 553, Average loss 0.059
Round 554, Average loss 0.068
Round 555, Average loss 0.057
Round 556, Average loss 0.053
Round 557, Average loss 0.073
Round 558, Average loss 0.057
Round 559, Average loss 0.076
Round 560, Average loss 0.060
Round 561, Average loss 0.046
Round 562, Average loss 0.057
Round 563, Average loss 0.064
Round 564, Average loss 0.064
Round 565, Average loss 0.047
Round 566, Average loss 0.059
Round 567, Average loss 0.057
Round 568, Average loss 0.059
Round 569, Average loss 0.064
Round 570, Average loss 0.062
Round 571, Average loss 0.046
Round 572, Average loss 0.062
Round 573, Average loss 0.066
Round 574, Average loss 0.062
Round 575, Average loss 0.062
Round 576, Average loss 0.074
Round 577, Average loss 0.049
Round 578, Average loss 0.061
Round 579, Average loss 0.049
Round 580, Average loss 0.047
Round 581, Average loss 0.066
Round 582, Average loss 0.049
Round 583, Average loss 0.053
Round 584, Average loss 0.052
Round 585, Average loss 0.068
Round 586, Average loss 0.061
Round 587, Average loss 0.057
Round 588, Average loss 0.052
Round 589, Average loss 0.046
Round 590, Average loss 0.055
Round 591, Average loss 0.069
Round 592, Average loss 0.063
Round 593, Average loss 0.051
Round 594, Average loss 0.060
Round 595, Average loss 0.053
Round 596, Average loss 0.058
Round 597, Average loss 0.051
Round 598, Average loss 0.050
Round 599, Average loss 0.045
Round 600, Average loss 0.048
Round 601, Average loss 0.058
Round 602, Average loss 0.050
Round 603, Average loss 0.073
Round 604, Average loss 0.074
