Model: LeNet
Num epochs: 100
Num local epochs: 10
Num of clients: 50
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.111
Round   1, Average loss 4.083
Round   2, Average loss 4.037
Round   3, Average loss 3.895
Round   4, Average loss 3.644
Round   5, Average loss 3.498
Round   6, Average loss 3.438
Round   7, Average loss 3.404
Round   8, Average loss 3.352
Round   9, Average loss 3.330
Round  10, Average loss 3.300
Round  11, Average loss 3.255
Round  12, Average loss 3.224
Round  13, Average loss 3.153
Round  14, Average loss 3.068
Round  15, Average loss 2.999
Round  16, Average loss 2.915
Round  17, Average loss 2.789
Round  18, Average loss 2.703
Round  19, Average loss 2.586
Round  20, Average loss 2.425
Round  21, Average loss 2.320
Round  22, Average loss 2.254
Round  23, Average loss 2.089
Round  24, Average loss 2.029
Round  25, Average loss 1.879
Round  26, Average loss 1.753
Round  27, Average loss 1.681
Round  28, Average loss 1.601
Round  29, Average loss 1.506
Round  30, Average loss 1.397
Round  31, Average loss 1.333
Round  32, Average loss 1.219
Round  33, Average loss 1.151
Round  34, Average loss 1.049
Round  35, Average loss 1.052
Round  36, Average loss 0.964
Round  37, Average loss 0.907
Round  38, Average loss 0.893
Round  39, Average loss 0.853
Round  40, Average loss 0.783
Round  41, Average loss 0.744
Round  42, Average loss 0.740
Round  43, Average loss 0.709
Round  44, Average loss 0.655
Round  45, Average loss 0.595
Round  46, Average loss 0.588
Round  47, Average loss 0.562
Round  48, Average loss 0.550
Round  49, Average loss 0.535
Round  50, Average loss 0.489
Round  51, Average loss 0.498
Round  52, Average loss 0.452
Round  53, Average loss 0.414
Round  54, Average loss 0.430
Round  55, Average loss 0.369
Round  56, Average loss 0.383
Round  57, Average loss 0.374
Round  58, Average loss 0.356
Round  59, Average loss 0.336
Round  60, Average loss 0.362
Round  61, Average loss 0.316
Round  62, Average loss 0.299
Round  63, Average loss 0.322
Round  64, Average loss 0.276
Round  65, Average loss 0.281
Round  66, Average loss 0.263
Round  67, Average loss 0.258
Round  68, Average loss 0.287
Round  69, Average loss 0.231
Round  70, Average loss 0.253
Round  71, Average loss 0.243
Round  72, Average loss 0.225
Round  73, Average loss 0.220
Round  74, Average loss 0.214
Round  75, Average loss 0.208
Round  76, Average loss 0.191
Round  77, Average loss 0.187
Round  78, Average loss 0.186
Round  79, Average loss 0.207
Round  80, Average loss 0.202
Round  81, Average loss 0.182
Round  82, Average loss 0.171
Round  83, Average loss 0.174
Round  84, Average loss 0.163
Round  85, Average loss 0.180
Round  86, Average loss 0.137
Round  87, Average loss 0.166
Round  88, Average loss 0.157
Round  89, Average loss 0.144
Round  90, Average loss 0.142
Round  91, Average loss 0.129
Round  92, Average loss 0.144
Round  93, Average loss 0.125
Round  94, Average loss 0.138
Round  95, Average loss 0.142
Round  96, Average loss 0.130
Round  97, Average loss 0.115
Round  98, Average loss 0.098
Round  99, Average loss 0.126
Training accuracy: 95.30
Testing accuracy: 83.25
--- 1091.457691192627 seconds ---
