Model: LeNet
Num epochs: 1000
Num local epochs: 10
Num of clients: 50
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.109
Round   1, Average loss 4.082
Round   2, Average loss 4.029
Round   3, Average loss 3.868
Round   4, Average loss 3.642
Round   5, Average loss 3.511
Round   6, Average loss 3.426
Round   7, Average loss 3.393
Round   8, Average loss 3.376
Round   9, Average loss 3.346
Round  10, Average loss 3.331
Round  11, Average loss 3.291
Round  12, Average loss 3.257
Round  13, Average loss 3.216
Round  14, Average loss 3.178
Round  15, Average loss 3.100
Round  16, Average loss 3.035
Round  17, Average loss 2.931
Round  18, Average loss 2.835
Round  19, Average loss 2.714
Round  20, Average loss 2.605
Round  21, Average loss 2.468
Round  22, Average loss 2.343
Round  23, Average loss 2.208
Round  24, Average loss 2.047
Round  25, Average loss 1.965
Round  26, Average loss 1.828
Round  27, Average loss 1.737
Round  28, Average loss 1.618
Round  29, Average loss 1.524
Round  30, Average loss 1.437
Round  31, Average loss 1.345
Round  32, Average loss 1.255
Round  33, Average loss 1.192
Round  34, Average loss 1.124
Round  35, Average loss 1.053
Round  36, Average loss 0.990
Round  37, Average loss 0.917
Round  38, Average loss 0.869
Round  39, Average loss 0.834
Round  40, Average loss 0.789
Round  41, Average loss 0.784
Round  42, Average loss 0.722
Round  43, Average loss 0.693
Round  44, Average loss 0.652
Round  45, Average loss 0.597
Round  46, Average loss 0.600
Round  47, Average loss 0.555
Round  48, Average loss 0.540
Round  49, Average loss 0.502
Round  50, Average loss 0.515
Round  51, Average loss 0.466
Round  52, Average loss 0.466
Round  53, Average loss 0.414
Round  54, Average loss 0.399
Round  55, Average loss 0.409
Round  56, Average loss 0.410
Round  57, Average loss 0.387
Round  58, Average loss 0.328
Round  59, Average loss 0.362
Round  60, Average loss 0.372
Round  61, Average loss 0.339
Round  62, Average loss 0.336
Round  63, Average loss 0.296
Round  64, Average loss 0.307
Round  65, Average loss 0.299
Round  66, Average loss 0.307
Round  67, Average loss 0.265
Round  68, Average loss 0.268
Round  69, Average loss 0.269
Round  70, Average loss 0.226
Round  71, Average loss 0.258
Round  72, Average loss 0.244
Round  73, Average loss 0.219
Round  74, Average loss 0.226
Round  75, Average loss 0.228
Round  76, Average loss 0.226
Round  77, Average loss 0.200
Round  78, Average loss 0.197
Round  79, Average loss 0.208
Round  80, Average loss 0.181
Round  81, Average loss 0.172
Round  82, Average loss 0.184
Round  83, Average loss 0.177
Round  84, Average loss 0.178
Round  85, Average loss 0.163
Round  86, Average loss 0.185
Round  87, Average loss 0.161
Round  88, Average loss 0.157
Round  89, Average loss 0.153
Round  90, Average loss 0.166
Round  91, Average loss 0.169
Round  92, Average loss 0.145
Round  93, Average loss 0.143
Round  94, Average loss 0.134
Round  95, Average loss 0.148
Round  96, Average loss 0.137
Round  97, Average loss 0.132
Round  98, Average loss 0.141
Round  99, Average loss 0.113
Round 100, Average loss 0.132
Round 101, Average loss 0.128
Round 102, Average loss 0.111
Round 103, Average loss 0.115
Round 104, Average loss 0.113
Round 105, Average loss 0.126
Round 106, Average loss 0.105
Round 107, Average loss 0.107
Round 108, Average loss 0.103
Round 109, Average loss 0.101
Round 110, Average loss 0.109
Round 111, Average loss 0.093
Round 112, Average loss 0.103
Round 113, Average loss 0.084
Round 114, Average loss 0.094
Round 115, Average loss 0.086
Round 116, Average loss 0.115
Round 117, Average loss 0.098
Round 118, Average loss 0.101
Round 119, Average loss 0.082
Round 120, Average loss 0.097
Round 121, Average loss 0.088
Round 122, Average loss 0.098
Round 123, Average loss 0.069
Round 124, Average loss 0.092
Round 125, Average loss 0.077
Round 126, Average loss 0.088
Round 127, Average loss 0.082
Round 128, Average loss 0.095
Round 129, Average loss 0.071
Round 130, Average loss 0.060
Round 131, Average loss 0.078
Round 132, Average loss 0.087
Round 133, Average loss 0.073
Round 134, Average loss 0.074
Round 135, Average loss 0.059
Round 136, Average loss 0.062
Round 137, Average loss 0.070
Round 138, Average loss 0.075
Round 139, Average loss 0.065
Round 140, Average loss 0.058
Round 141, Average loss 0.060
Round 142, Average loss 0.058
Round 143, Average loss 0.053
Round 144, Average loss 0.057
Round 145, Average loss 0.077
Round 146, Average loss 0.054
Round 147, Average loss 0.055
Round 148, Average loss 0.052
Round 149, Average loss 0.055
Round 150, Average loss 0.051
Round 151, Average loss 0.056
Round 152, Average loss 0.054
Round 153, Average loss 0.071
Round 154, Average loss 0.053
Round 155, Average loss 0.052
Round 156, Average loss 0.062
Round 157, Average loss 0.068
Round 158, Average loss 0.047
Round 159, Average loss 0.044
Round 160, Average loss 0.066
Round 161, Average loss 0.056
Round 162, Average loss 0.046
Round 163, Average loss 0.057
Round 164, Average loss 0.044
Round 165, Average loss 0.050
Round 166, Average loss 0.042
Round 167, Average loss 0.036
Round 168, Average loss 0.042
Round 169, Average loss 0.040
Round 170, Average loss 0.051
Round 171, Average loss 0.043
Round 172, Average loss 0.043
Round 173, Average loss 0.033
Round 174, Average loss 0.056
Round 175, Average loss 0.043
Round 176, Average loss 0.034
Round 177, Average loss 0.045
Round 178, Average loss 0.039
Round 179, Average loss 0.037
Round 180, Average loss 0.035
Round 181, Average loss 0.034
Round 182, Average loss 0.035
Round 183, Average loss 0.041
Round 184, Average loss 0.040
Round 185, Average loss 0.033
Round 186, Average loss 0.039
Round 187, Average loss 0.046
Round 188, Average loss 0.031
Round 189, Average loss 0.046
Round 190, Average loss 0.028
Round 191, Average loss 0.035
Round 192, Average loss 0.035
Round 193, Average loss 0.044
Round 194, Average loss 0.031
Round 195, Average loss 0.034
Round 196, Average loss 0.029
Round 197, Average loss 0.034
Round 198, Average loss 0.045
Round 199, Average loss 0.048
Round 200, Average loss 0.033
Round 201, Average loss 0.034
Round 202, Average loss 0.028
Round 203, Average loss 0.029
Round 204, Average loss 0.028
Round 205, Average loss 0.034
Round 206, Average loss 0.025
Round 207, Average loss 0.034
Round 208, Average loss 0.029
Round 209, Average loss 0.031
Round 210, Average loss 0.027
Round 211, Average loss 0.031
Round 212, Average loss 0.031
Round 213, Average loss 0.027
Round 214, Average loss 0.026
Round 215, Average loss 0.040
Round 216, Average loss 0.024
Round 217, Average loss 0.039
Round 218, Average loss 0.021
Round 219, Average loss 0.044
Round 220, Average loss 0.032
Round 221, Average loss 0.024
Round 222, Average loss 0.041
Round 223, Average loss 0.024
Round 224, Average loss 0.026
Round 225, Average loss 0.024
Round 226, Average loss 0.031
Round 227, Average loss 0.028
Round 228, Average loss 0.023
Round 229, Average loss 0.023
Round 230, Average loss 0.028
Round 231, Average loss 0.020
Round 232, Average loss 0.025
Round 233, Average loss 0.028
Round 234, Average loss 0.024
Round 235, Average loss 0.025
Round 236, Average loss 0.024
Round 237, Average loss 0.024
Round 238, Average loss 0.027
Round 239, Average loss 0.021
Round 240, Average loss 0.023
Round 241, Average loss 0.020
Round 242, Average loss 0.030
Round 243, Average loss 0.026
Round 244, Average loss 0.020
Round 245, Average loss 0.020
Round 246, Average loss 0.019
Round 247, Average loss 0.028
Round 248, Average loss 0.028
Round 249, Average loss 0.018
Round 250, Average loss 0.022
Round 251, Average loss 0.019
Round 252, Average loss 0.020
Round 253, Average loss 0.026
Round 254, Average loss 0.016
Round 255, Average loss 0.023
Round 256, Average loss 0.026
Round 257, Average loss 0.019
Round 258, Average loss 0.028
Round 259, Average loss 0.019
Round 260, Average loss 0.021
Round 261, Average loss 0.018
Round 262, Average loss 0.017
Round 263, Average loss 0.015
Round 264, Average loss 0.016
Round 265, Average loss 0.020
Round 266, Average loss 0.023
Round 267, Average loss 0.027
Round 268, Average loss 0.019
Round 269, Average loss 0.021
Round 270, Average loss 0.014
Round 271, Average loss 0.016
Round 272, Average loss 0.017
Round 273, Average loss 0.021
Round 274, Average loss 0.016
Round 275, Average loss 0.013
Round 276, Average loss 0.017
Round 277, Average loss 0.016
Round 278, Average loss 0.016
Round 279, Average loss 0.024
Round 280, Average loss 0.018
Round 281, Average loss 0.013
Round 282, Average loss 0.019
Round 283, Average loss 0.012
Round 284, Average loss 0.010
Round 285, Average loss 0.019
Round 286, Average loss 0.013
Round 287, Average loss 0.012
Round 288, Average loss 0.018
Round 289, Average loss 0.016
Round 290, Average loss 0.014
Round 291, Average loss 0.015
Round 292, Average loss 0.012
Round 293, Average loss 0.018
Round 294, Average loss 0.016
Round 295, Average loss 0.017
Round 296, Average loss 0.015
Round 297, Average loss 0.016
Round 298, Average loss 0.023
Round 299, Average loss 0.018
Round 300, Average loss 0.016
Round 301, Average loss 0.017
Round 302, Average loss 0.012
Round 303, Average loss 0.016
Round 304, Average loss 0.012
Round 305, Average loss 0.014
Round 306, Average loss 0.014
Round 307, Average loss 0.016
Round 308, Average loss 0.015
Round 309, Average loss 0.016
Round 310, Average loss 0.014
Round 311, Average loss 0.010
Round 312, Average loss 0.017
Round 313, Average loss 0.013
Round 314, Average loss 0.010
Round 315, Average loss 0.011
Round 316, Average loss 0.011
Round 317, Average loss 0.015
Round 318, Average loss 0.012
Round 319, Average loss 0.019
Round 320, Average loss 0.013
Round 321, Average loss 0.018
Round 322, Average loss 0.015
Round 323, Average loss 0.014
Round 324, Average loss 0.012
Round 325, Average loss 0.013
Round 326, Average loss 0.014
Round 327, Average loss 0.016
Round 328, Average loss 0.015
Round 329, Average loss 0.013
Round 330, Average loss 0.013
Round 331, Average loss 0.018
Round 332, Average loss 0.012
Round 333, Average loss 0.011
Round 334, Average loss 0.013
Round 335, Average loss 0.013
Round 336, Average loss 0.010
Round 337, Average loss 0.011
Round 338, Average loss 0.011
Round 339, Average loss 0.013
Round 340, Average loss 0.012
Round 341, Average loss 0.011
Round 342, Average loss 0.009
Round 343, Average loss 0.014
Round 344, Average loss 0.011
Round 345, Average loss 0.013
Round 346, Average loss 0.010
Round 347, Average loss 0.012
Round 348, Average loss 0.008
Round 349, Average loss 0.013
Round 350, Average loss 0.012
Round 351, Average loss 0.010
Round 352, Average loss 0.008
Round 353, Average loss 0.012
Round 354, Average loss 0.015
Round 355, Average loss 0.007
Round 356, Average loss 0.010
Round 357, Average loss 0.008
Round 358, Average loss 0.008
Round 359, Average loss 0.013
Round 360, Average loss 0.011
Round 361, Average loss 0.008
Round 362, Average loss 0.013
Round 363, Average loss 0.009
Round 364, Average loss 0.013
Round 365, Average loss 0.008
Round 366, Average loss 0.008
Round 367, Average loss 0.011
Round 368, Average loss 0.007
Round 369, Average loss 0.010
Round 370, Average loss 0.008
Round 371, Average loss 0.012
Round 372, Average loss 0.012
Round 373, Average loss 0.011
Round 374, Average loss 0.012
Round 375, Average loss 0.015
Round 376, Average loss 0.008
Round 377, Average loss 0.008
Round 378, Average loss 0.011
Round 379, Average loss 0.008
Round 380, Average loss 0.007
Round 381, Average loss 0.008
Round 382, Average loss 0.008
Round 383, Average loss 0.013
Round 384, Average loss 0.008
Round 385, Average loss 0.008
Round 386, Average loss 0.012
Round 387, Average loss 0.007
Round 388, Average loss 0.010
Round 389, Average loss 0.007
Round 390, Average loss 0.009
Round 391, Average loss 0.008
Round 392, Average loss 0.009
Round 393, Average loss 0.008
Round 394, Average loss 0.009
Round 395, Average loss 0.006
Round 396, Average loss 0.010
Round 397, Average loss 0.011
Round 398, Average loss 0.009
Round 399, Average loss 0.005
Round 400, Average loss 0.008
Round 401, Average loss 0.010
Round 402, Average loss 0.008
Round 403, Average loss 0.009
Round 404, Average loss 0.009
Round 405, Average loss 0.008
Round 406, Average loss 0.006
