Model: LeNet
Num epochs: 500
Num local epochs: 10
Num of clients: 200
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.117
Round   1, Average loss 4.109
Round   2, Average loss 4.095
Round   3, Average loss 4.082
Round   4, Average loss 4.064
Round   5, Average loss 4.039
Round   6, Average loss 3.992
Round   7, Average loss 3.920
Round   8, Average loss 3.849
Round   9, Average loss 3.771
Round  10, Average loss 3.730
Round  11, Average loss 3.653
Round  12, Average loss 3.620
Round  13, Average loss 3.594
Round  14, Average loss 3.529
Round  15, Average loss 3.488
Round  16, Average loss 3.459
Round  17, Average loss 3.439
Round  18, Average loss 3.426
Round  19, Average loss 3.401
Round  20, Average loss 3.401
Round  21, Average loss 3.355
Round  22, Average loss 3.328
Round  23, Average loss 3.373
Round  24, Average loss 3.332
Round  25, Average loss 3.317
Round  26, Average loss 3.330
Round  27, Average loss 3.303
Round  28, Average loss 3.307
Round  29, Average loss 3.295
Round  30, Average loss 3.304
Round  31, Average loss 3.290
Round  32, Average loss 3.278
Round  33, Average loss 3.250
Round  34, Average loss 3.260
Round  35, Average loss 3.257
Round  36, Average loss 3.231
Round  37, Average loss 3.215
Round  38, Average loss 3.194
Round  39, Average loss 3.207
Round  40, Average loss 3.184
Round  41, Average loss 3.171
Round  42, Average loss 3.163
Round  43, Average loss 3.179
Round  44, Average loss 3.173
Round  45, Average loss 3.131
Round  46, Average loss 3.097
Round  47, Average loss 3.090
Round  48, Average loss 3.099
Round  49, Average loss 3.063
Round  50, Average loss 3.043
Round  51, Average loss 3.035
Round  52, Average loss 3.008
Round  53, Average loss 2.963
Round  54, Average loss 2.938
Round  55, Average loss 2.937
Round  56, Average loss 2.873
Round  57, Average loss 2.824
Round  58, Average loss 2.799
Round  59, Average loss 2.797
Round  60, Average loss 2.761
Round  61, Average loss 2.668
Round  62, Average loss 2.644
Round  63, Average loss 2.667
Round  64, Average loss 2.583
Round  65, Average loss 2.523
Round  66, Average loss 2.511
Round  67, Average loss 2.450
Round  68, Average loss 2.438
Round  69, Average loss 2.393
Round  70, Average loss 2.376
Round  71, Average loss 2.268
Round  72, Average loss 2.164
Round  73, Average loss 2.169
Round  74, Average loss 2.131
Round  75, Average loss 2.066
Round  76, Average loss 2.026
Round  77, Average loss 2.016
Round  78, Average loss 1.951
Round  79, Average loss 1.927
Round  80, Average loss 1.847
Round  81, Average loss 1.816
Round  82, Average loss 1.788
Round  83, Average loss 1.723
Round  84, Average loss 1.699
Round  85, Average loss 1.637
Round  86, Average loss 1.602
Round  87, Average loss 1.554
Round  88, Average loss 1.550
Round  89, Average loss 1.524
Round  90, Average loss 1.475
Round  91, Average loss 1.404
Round  92, Average loss 1.393
Round  93, Average loss 1.380
Round  94, Average loss 1.366
Round  95, Average loss 1.326
Round  96, Average loss 1.291
Round  97, Average loss 1.266
Round  98, Average loss 1.212
Round  99, Average loss 1.205
Round 100, Average loss 1.147
