Model: LeNet
Num epochs: 500
Num local epochs: 10
Num of clients: 50
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.115
Round   1, Average loss 4.083
Round   2, Average loss 4.027
Round   3, Average loss 3.828
Round   4, Average loss 3.541
Round   5, Average loss 3.465
Round   6, Average loss 3.410
Round   7, Average loss 3.354
Round   8, Average loss 3.344
Round   9, Average loss 3.314
Round  10, Average loss 3.280
Round  11, Average loss 3.272
Round  12, Average loss 3.221
Round  13, Average loss 3.203
Round  14, Average loss 3.092
Round  15, Average loss 3.018
Round  16, Average loss 2.922
Round  17, Average loss 2.822
Round  18, Average loss 2.708
Round  19, Average loss 2.603
Round  20, Average loss 2.430
Round  21, Average loss 2.347
Round  22, Average loss 2.265
Round  23, Average loss 2.110
Round  24, Average loss 1.979
Round  25, Average loss 1.858
Round  26, Average loss 1.752
Round  27, Average loss 1.634
Round  28, Average loss 1.551
Round  29, Average loss 1.448
Round  30, Average loss 1.365
Round  31, Average loss 1.292
Round  32, Average loss 1.179
Round  33, Average loss 1.133
Round  34, Average loss 1.107
Round  35, Average loss 0.996
Round  36, Average loss 0.961
Round  37, Average loss 0.904
Round  38, Average loss 0.843
Round  39, Average loss 0.810
Round  40, Average loss 0.717
Round  41, Average loss 0.721
Round  42, Average loss 0.687
Round  43, Average loss 0.660
Round  44, Average loss 0.639
Round  45, Average loss 0.588
Round  46, Average loss 0.563
Round  47, Average loss 0.545
Round  48, Average loss 0.546
Round  49, Average loss 0.492
Round  50, Average loss 0.470
Round  51, Average loss 0.452
Round  52, Average loss 0.458
Round  53, Average loss 0.422
Round  54, Average loss 0.399
Round  55, Average loss 0.425
Round  56, Average loss 0.365
Round  57, Average loss 0.360
Round  58, Average loss 0.356
Round  59, Average loss 0.334
Round  60, Average loss 0.338
Round  61, Average loss 0.348
Round  62, Average loss 0.312
Round  63, Average loss 0.297
Round  64, Average loss 0.276
Round  65, Average loss 0.293
Round  66, Average loss 0.248
Round  67, Average loss 0.249
Round  68, Average loss 0.257
Round  69, Average loss 0.256
Round  70, Average loss 0.255
Round  71, Average loss 0.237
Round  72, Average loss 0.209
Round  73, Average loss 0.197
Round  74, Average loss 0.202
Round  75, Average loss 0.211
Round  76, Average loss 0.189
Round  77, Average loss 0.193
Round  78, Average loss 0.190
Round  79, Average loss 0.176
Round  80, Average loss 0.180
Round  81, Average loss 0.146
Round  82, Average loss 0.174
Round  83, Average loss 0.164
Round  84, Average loss 0.175
Round  85, Average loss 0.153
Round  86, Average loss 0.177
Round  87, Average loss 0.162
Round  88, Average loss 0.168
Round  89, Average loss 0.131
Round  90, Average loss 0.145
Round  91, Average loss 0.156
Round  92, Average loss 0.134
Round  93, Average loss 0.116
Round  94, Average loss 0.126
Round  95, Average loss 0.134
Round  96, Average loss 0.129
Round  97, Average loss 0.131
Round  98, Average loss 0.123
Round  99, Average loss 0.126
Round 100, Average loss 0.123
Round 101, Average loss 0.121
Round 102, Average loss 0.103
Round 103, Average loss 0.112
Round 104, Average loss 0.115
Round 105, Average loss 0.116
Round 106, Average loss 0.098
Round 107, Average loss 0.104
