Model: LeNet
Num epochs: 100
Num local epochs: 15
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.111
Round   1, Average loss 4.091
Round   2, Average loss 4.060
Round   3, Average loss 3.988
Round   4, Average loss 3.847
Round   5, Average loss 3.665
Round   6, Average loss 3.510
Round   7, Average loss 3.422
Round   8, Average loss 3.374
Round   9, Average loss 3.352
Round  10, Average loss 3.323
Round  11, Average loss 3.303
Round  12, Average loss 3.288
Round  13, Average loss 3.260
Round  14, Average loss 3.198
Round  15, Average loss 3.176
Round  16, Average loss 3.159
Round  17, Average loss 3.065
Round  18, Average loss 3.005
Round  19, Average loss 2.941
Round  20, Average loss 2.851
Round  21, Average loss 2.752
Round  22, Average loss 2.681
Round  23, Average loss 2.567
Round  24, Average loss 2.403
Round  25, Average loss 2.325
Round  26, Average loss 2.217
Round  27, Average loss 2.152
Round  28, Average loss 2.051
Round  29, Average loss 1.924
Round  30, Average loss 1.851
Round  31, Average loss 1.741
Round  32, Average loss 1.665
Round  33, Average loss 1.567
Round  34, Average loss 1.511
Round  35, Average loss 1.430
Round  36, Average loss 1.349
Round  37, Average loss 1.300
Round  38, Average loss 1.203
Round  39, Average loss 1.151
Round  40, Average loss 1.118
Round  41, Average loss 1.045
Round  42, Average loss 1.022
Round  43, Average loss 0.955
Round  44, Average loss 0.921
Round  45, Average loss 0.914
Round  46, Average loss 0.849
Round  47, Average loss 0.800
Round  48, Average loss 0.762
Round  49, Average loss 0.767
Round  50, Average loss 0.715
Round  51, Average loss 0.680
Round  52, Average loss 0.646
Round  53, Average loss 0.668
Round  54, Average loss 0.615
Round  55, Average loss 0.584
Round  56, Average loss 0.588
Round  57, Average loss 0.553
Round  58, Average loss 0.515
Round  59, Average loss 0.511
Round  60, Average loss 0.507
Round  61, Average loss 0.499
Round  62, Average loss 0.457
Round  63, Average loss 0.449
Round  64, Average loss 0.438
Round  65, Average loss 0.410
Round  66, Average loss 0.399
Round  67, Average loss 0.387
Round  68, Average loss 0.353
Round  69, Average loss 0.353
Round  70, Average loss 0.347
Round  71, Average loss 0.347
Round  72, Average loss 0.367
Round  73, Average loss 0.326
Round  74, Average loss 0.304
Round  75, Average loss 0.288
Round  76, Average loss 0.302
Round  77, Average loss 0.289
Round  78, Average loss 0.306
Round  79, Average loss 0.271
Round  80, Average loss 0.258
Round  81, Average loss 0.248
Round  82, Average loss 0.250
Round  83, Average loss 0.233
Round  84, Average loss 0.237
Round  85, Average loss 0.250
Round  86, Average loss 0.243
Round  87, Average loss 0.234
Round  88, Average loss 0.230
Round  89, Average loss 0.213
Round  90, Average loss 0.211
Round  91, Average loss 0.206
Round  92, Average loss 0.203
Round  93, Average loss 0.190
Round  94, Average loss 0.190
Round  95, Average loss 0.189
Round  96, Average loss 0.193
Round  97, Average loss 0.193
Round  98, Average loss 0.174
Round  99, Average loss 0.173
Training accuracy: 91.53
Testing accuracy: 78.09
--- 1619.8645858764648 seconds ---
